,offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
0,No,Air Miles,Letter,High,1,No,High,2,1,4,No,7.057682767965088
1,No,Air Miles,Letter,Medium,more than 1,No,High,1,1,4,No,7.106606137727303
2,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,7.10002716662926
3,No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,No,7.0172821035093795
4,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,6.913737350659685
5,No,Air Miles,Letter,High,more than 1,No,Low,more than 2,more than 1,4,Yes,6.882693848386766
6,No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,1,2,Yes,7.0354886454916885
7,No,Cash Back,Postcard,High,1,No,Medium,more than 2,more than 1,5,Yes,7.108244139731541
8,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,7.04882071926074
9,No,Points,Letter,Low,1,No,High,1,1,3,No,6.9596359008591255
10,No,Air Miles,Letter,Low,more than 1,No,High,more than 2,1,3,Yes,6.9219047020865565
11,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,6.920918265508418
12,No,Points,Postcard,Low,more than 1,No,Medium,1,1,4,Yes,7.1049654482698426
13,No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,Yes,7.078552349924138
14,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,6.966731484082434
15,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,6.991866621600789
16,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,7.070086690899589
17,No,Points,Letter,Medium,1,No,Low,2,more than 1,3,Yes,6.700423559184014
18,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,7.470224135899966
19,No,Air Miles,Postcard,High,1,No,High,more than 2,1,5,No,6.537415972849347
20,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,6.926822341699363
21,No,Cash Back,Postcard,Medium,1,Yes,High,more than 2,more than 1,5,Yes,7.031078495014136
22,No,Air Miles,Postcard,Low,more than 1,No,Low,more than 2,more than 1,1,Yes,6.777646593635117
23,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,6.565264970035361
24,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,6.53813982376767
25,No,Points,Letter,Medium,1,No,High,2,1,3,No,6.761862078801734
26,No,Cash Back,Postcard,Low,more than 1,No,Low,1,1,5,Yes,6.598509028614515
27,No,Points,Postcard,Low,1,No,High,2,more than 1,4,No,6.648984550024776
28,No,Air Miles,Postcard,Low,more than 1,No,Medium,1,1,4,Yes,6.49299712396238
29,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,7.138073034044347
30,No,Points,Letter,High,1,No,High,2,1,4,Yes,6.7756514383488
31,No,Air Miles,Postcard,Medium,more than 1,No,Medium,2,more than 1,2,Yes,6.517301928494411
32,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,7.000106540046323
33,No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,6.984947774812043
34,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,7.0217533830355485
35,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,6.728329525300208
36,No,Air Miles,Letter,High,more than 1,No,Medium,more than 2,1,3,Yes,6.952489610322308
37,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,6.733104228492402
38,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,6.948177193481053
39,No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,6.895682697747868
40,No,Air Miles,Postcard,Medium,1,No,Low,1,more than 1,3,No,6.71295620067707
41,No,Points,Letter,Medium,more than 1,Yes,High,1,1,5,Yes,6.4792773965649
42,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,6.8966943316227125
43,No,Points,Letter,Medium,1,No,Medium,1,1,4,No,7.044469102297959
44,No,Points,Postcard,Medium,more than 1,No,Low,1,1,4,No,7.059187982742347
45,No,Air Miles,Postcard,Medium,1,No,High,2,more than 1,3,Yes,6.861973086327009
46,No,Points,Postcard,High,1,No,Medium,more than 2,more than 1,5,Yes,7.1718488166253005
47,No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,7.047299806420034
